Demographics, US by County, Income, Median Household Income (Both Sexes - 2014 to 2018), 2014 - 2018
Area,County FIPS,Dollars
"Mercer, Kentucky","21167","50475"
"Lubbock, Texas","48303","50473"
"Buchanan, Missouri","29021","50457"
"Texas, Oklahoma","40139","50450"
"McLean, Kentucky","21149","50445"
"Macon, Illinois","17115","50444"
"Harrison, West Virginia","54033","50433"
"Asotin, Washington","53003","50423"
"Pasco, Florida","12101","50417"
"Audubon, Iowa","19009","50397"
"Blaine, Oklahoma","40011","50391"
"Daviess, Missouri","29061","50380"
"Howard, Missouri","29089","50372"
"Clark, Kansas","20025","50368"
"Morris, Kansas","20127","50352"
"Harlan, Nebraska","31083","50344"
"Jefferson, Oregon","41031","50339"
"Fergus, Montana","30027","50327"
"Montgomery, Illinois","17135","50304"
"Grimes, Texas","48185","50298"
"Payette, Idaho","16075","50289"
"Carbon, Utah","49007","50278"
"Campbell, Virginia","51031","50258"
"Fulton, New York","36035","50248"
"Madison, Montana","30057","50247"
"Marshall, Kansas","20117","50234"
"Portsmouth, Virginia","51740","50224"
"Lewis, Washington","53041","50216"
"Lucas, Iowa","19117","50206"
"Gallatin, Kentucky","21077","50204"
"Wibaux, Montana","30109","50202"
"Wright, Iowa","19197","50198"
"Barton, Kansas","20009","50198"
"Yavapai, Arizona","4025","50180"
"Fulton, Illinois","17057","50180"
"Spartanburg, South Carolina","45083","50179"
"Cass, Minnesota","27021","50173"
"Scotts Bluff, Nebraska","31157","50157"
"Clinton, Iowa","19045","50156"
"Merced, California","6047","50129"
"Forsyth, North Carolina","37067","50128"
"St. Joseph, Michigan","26149","50117"
"Harper, Oklahoma","40059","50114"
"Lyon, Kentucky","21143","50097"
"Pulaski, Arkansas","5119","50093"
"Osceola, Florida","12097","50063"
"Dewey, Oklahoma","40043","50037"
"Aiken, South Carolina","45003","50036"
"Fayette, Iowa","19065","50015"
"Roane, Tennessee","47145","50003"
"DeKalb, Missouri","29063","50000"
"Hocking, Ohio","39073","50000"
"Power, Idaho","16077","49985"
"Burnett, Wisconsin","55013","49982"
"Des Moines, Iowa","19057","49977"
"Page, Iowa","19145","49974"
"Lane, Oregon","41039","49958"
"Seneca, Ohio","39147","49936"
"Ochiltree, Texas","48357","49928"
"Monongalia, West Virginia","54061","49926"
"Clallam, Washington","53009","49913"
"Riley, Kansas","20161","49910"
"Norton, Kansas","20137","49891"
"Custer, Nebraska","31041","49891"
"Columbia, Pennsylvania","42037","49889"
"Garrard, Kentucky","21079","49888"
"Fountain, Indiana","18045","49887"
"Rich, Utah","49033","49886"
"Pocahontas, Iowa","19151","49877"
"Rains, Texas","48379","49872"
"Yakima, Washington","53077","49871"
"Liberty, Texas","48291","49850"
"Daviess, Kentucky","21059","49836"
"Richmond, Virginia","51159","49831"
"Jennings, Indiana","18079","49801"
"Haywood, North Carolina","37087","49800"
"Shelby, Tennessee","47157","49782"
"Keweenaw, Michigan","26083","49779"
"Goshen, Wyoming","56015","49774"
"Brooke, West Virginia","54009","49772"
"Edwards, Illinois","17047","49766"
"Wayne, Illinois","17191","49764"
"Greene, Georgia","13133","49755"
"Knox, Nebraska","31107","49752"
"Morgan, Alabama","1103","49751"
"Bannock, Idaho","16005","49739"
"Floyd, Virginia","51063","49729"
"Erie, Pennsylvania","42049","49716"
"Harrison, Kentucky","21097","49696"
"Keya Paha, Nebraska","31103","49688"
"Mitchell, Texas","48335","49670"
"Mason, Michigan","26105","49663"
"Powell, Montana","30077","49652"
"Washington, Arkansas","5143","49629"
"Wharton, Texas","48481","49619"
"Garrett, Maryland","24023","49619"
"Carroll, Georgia","13045","49608"
"Warren, Illinois","17187","49607"
"Stanly, North Carolina","37167","49590"
"Marquette, Wisconsin","55077","49586"
"Creek, Oklahoma","40037","49578"
"Monroe, Iowa","19135","49549"
"Cannon, Tennessee","47015","49523"
"Jerauld, South Dakota","46073","49519"
"Sweet Grass, Montana","30097","49514"
"Jackson, Indiana","18071","49506"
"Colorado, Texas","48089","49504"
"Onslow, North Carolina","37133","49491"
"Williams, Ohio","39171","49491"
"Harper, Kansas","20077","49455"
"Calcasieu, Louisiana","22019","49452"
"Greene, Mississippi","28041","49447"
"Madison, Texas","48313","49428"
"Lincoln, Colorado","8073","49423"
"Kershaw, South Carolina","45055","49392"
"Gilmer, Georgia","13123","49389"
"Gaston, North Carolina","37071","49384"
"Anderson, Tennessee","47001","49376"
"Washington, Colorado","8121","49375"
"Penobscot, Maine","23019","49374"
"St. Lucie, Florida","12111","49373"
"Marshall, Tennessee","47117","49370"
"Lincoln, Oklahoma","40081","49362"
"Belmont, Ohio","39013","49361"
"Wheeler, Texas","48483","49352"
"Caledonia, Vermont","50005","49348"
"Greenup, Kentucky","21089","49343"
"Doniphan, Kansas","20043","49338"
"Fulton, Indiana","18049","49333"
"Montgomery, Ohio","39113","49314"
"Jerome, Idaho","16053","49306"
"St. Lawrence, New York","36089","49305"
"Edwards, Kansas","20047","49293"
"Gregg, Texas","48183","49287"
"Escambia, Florida","12033","49286"
"Sheridan, North Dakota","38083","49261"
"Franklin, Nebraska","31061","49235"
"Pontotoc, Oklahoma","40123","49235"
"Clinton, Pennsylvania","42035","49234"
"Mendocino, California","6045","49233"
"Crawford, Illinois","17033","49233"
"Adams, Iowa","19003","49229"
"Charlotte, Florida","12015","49225"
"Carter, Oklahoma","40019","49216"
"Stevens, Washington","53065","49200"
"Edgefield, South Carolina","45037","49200"
"Park, Montana","30067","49194"
"Schuylkill, Pennsylvania","42107","49190"
"Geary, Kansas","20061","49185"
"Union, Illinois","17181","49182"
"Greene, Indiana","18055","49177"
"Reno, Kansas","20155","49174"
"Amherst, Virginia","51009","49170"
"Norfolk, Virginia","51710","49146"
"Bedford, Pennsylvania","42009","49146"
"Crawford, Pennsylvania","42039","49144"
"Canyon, Idaho","16027","49143"
"Adams, Washington","53001","49142"
"Habersham, Georgia","13137","49140"
"Pine, Minnesota","27115","49138"
"Berrien, Michigan","26021","49135"
"Florence, Wisconsin","55037","49128"
"Alachua, Florida","12001","49078"
"Lake of the Woods, Minnesota","27077","49068"
"Williamson, Illinois","17199","49053"
"Franklin, Tennessee","47051","49038"
"Armstrong, Pennsylvania","42005","49032"
"Newton, Missouri","29145","49023"
"Miami-Dade, Florida","12086","48982"
"Dickinson, Michigan","26043","48966"
"Granite, Montana","30039","48958"
"Bedford, Tennessee","47003","48945"
"Ravalli, Montana","30081","48930"
"Logan, Colorado","8075","48922"
"Keith, Nebraska","31101","48901"
"Starke, Indiana","18149","48895"
"Gove, Kansas","20063","48894"
"Washington, Kansas","20201","48889"
"Custer, Oklahoma","40039","48884"
"McPherson, Nebraska","31117","48882"
"Lee, North Carolina","37105","48873"
"Terrebonne, Louisiana","22109","48866"
"Lawrence, Pennsylvania","42073","48860"
"Crawford, Wisconsin","55023","48853"
"Mayes, Oklahoma","40097","48853"
"Baltimore, Maryland","24510","48840"
"Polk, North Carolina","37149","48834"
"Jackson, Colorado","8057","48828"
"Delaware, New York","36025","48827"
"Hill, Texas","48217","48823"
"Erath, Texas","48143","48819"
"Person, North Carolina","37145","48811"
"Perry, Ohio","39127","48811"
"Pierce, North Dakota","38069","48802"
"Nelson, North Dakota","38063","48798"
"Parke, Indiana","18121","48788"
"Traverse, Minnesota","27155","48784"
"Wilbarger, Texas","48487","48773"
"Hardin, Ohio","39065","48773"
"Mercer, Pennsylvania","42085","48768"
"Cooper, Missouri","29053","48750"
"Milwaukee, Wisconsin","55079","48742"
"Montrose, Colorado","8085","48739"
"Freestone, Texas","48161","48731"
"Beckham, Oklahoma","40009","48725"
"Richland, Illinois","17159","48724"
"Taylor, Iowa","19173","48717"
"Antelope, Nebraska","31003","48716"
"Bonner, Idaho","16017","48710"
"Blount, Alabama","1009","48695"
"Clay, Illinois","17025","48691"
"Madison, Kentucky","21151","48687"
"Grand, Utah","49019","48673"
"Owen, Indiana","18119","48667"
"Atchison, Kansas","20005","48667"
"Rowan, North Carolina","37159","48667"
"Cochise, Arizona","4003","48649"
"Gooding, Idaho","16047","48638"
"Union, Oregon","41061","48617"
"Henry, Alabama","1067","48610"
"Marion, West Virginia","54049","48605"
"Huntingdon, Pennsylvania","42061","48597"
"Pend Oreille, Washington","53051","48583"
"Swift, Minnesota","27151","48577"
"Washington, Ohio","39167","48572"
"Lee, Iowa","19111","48571"
"Stafford, Kansas","20185","48563"
"Pleasants, West Virginia","54073","48563"
"Floyd, Texas","48153","48555"
"Brown, Kansas","20013","48547"
"Garfield, Nebraska","31071","48545"
"Emmet, Iowa","19063","48542"
"Wood, Texas","48499","48534"
"Morgan, Illinois","17137","48508"
"Clark, Ohio","39023","48502"
"Deuel, Nebraska","31049","48500"
"Polk, Florida","12105","48500"
"Jefferson, Texas","48245","48463"
"Harrison, Ohio","39067","48462"
"Butte, California","6007","48443"
"Cuyahoga, Ohio","39035","48435"
"Washburn, Wisconsin","55129","48422"
"Ohio, West Virginia","54069","48418"
"Warren, Pennsylvania","42123","48409"
"Ross, Ohio","39141","48403"
"Yuma, Colorado","8125","48394"
"Hillsdale, Michigan","26059","48392"
"Atchison, Missouri","29005","48385"
"Vermillion, Indiana","18165","48377"
"Pulaski, Indiana","18131","48370"
"Nash, North Carolina","37127","48362"
"Osborne, Kansas","20141","48355"
"Bennett, South Dakota","46007","48348"
"Muskegon, Michigan","26121","48329"
"George, Mississippi","28039","48319"
"Preston, West Virginia","54077","48317"
"Simpson, Kentucky","21213","48311"
"Perry, Illinois","17145","48298"
"Horry, South Carolina","45051","48279"
"Pasquotank, North Carolina","37139","48279"
"Phillips, Kansas","20147","48272"
"Kane, Utah","49025","48269"
"Henry, Indiana","18065","48235"
"Union, Indiana","18161","48227"
"Somerset, Pennsylvania","42111","48224"
"Lincoln, Idaho","16063","48222"
"McLennan, Texas","48309","48199"
"Breckinridge, Kentucky","21027","48189"
"Ellsworth, Kansas","20053","48188"
"Cass, Iowa","19029","48178"
"Jefferson, Florida","12065","48173"
"Dickinson, Kansas","20041","48167"
"Cascade, Montana","30013","48160"
"Thurston, Nebraska","31173","48149"
"Bradley, Tennessee","47011","48140"
"East Feliciana, Louisiana","22037","48129"
"Sierra, California","6091","48125"
"Rawlins, Kansas","20153","48125"
"Hockley, Texas","48219","48116"
"Refugio, Texas","48391","48112"
"Floyd, Iowa","19067","48110"
"Richardson, Nebraska","31147","48096"
"Heard, Georgia","13149","48094"
"Cowley, Kansas","20035","48087"
"Georgetown, South Carolina","45043","48071"
"Sherman, Oregon","41055","48056"
"Lee, Alabama","1081","48056"
"Franklin, Maine","23007","48053"
"Staunton, Virginia","51790","48049"
"Wythe, Virginia","51197","48043"
"Caldwell, Missouri","29025","48033"
"Marion, Tennessee","47115","48024"
"Republic, Kansas","20157","48022"
"Stephenson, Illinois","17177","48016"
"Bay, Michigan","26017","48005"
"Stonewall, Texas","48433","48000"
"Coffee, Tennessee","47031","47998"
"Montgomery, Alabama","1101","47990"
"Furnas, Nebraska","31065","47989"
"Venango, Pennsylvania","42121","47982"
"Lee, Mississippi","28081","47978"
"St. Martin, Louisiana","22099","47974"
"Blair, Pennsylvania","42013","47969"
"Clark, Missouri","29045","47955"
"Page, Virginia","51139","47951"
"Switzerland, Indiana","18155","47929"
"Navarro, Texas","48349","47920"
"Orleans, Vermont","50019","47915"
"Anderson, South Carolina","45007","47906"
"Comanche, Texas","48093","47893"
"Livingston, Missouri","29117","47885"
"Clay, Iowa","19041","47874"
"Clark, South Dakota","46025","47798"
"Iberville, Louisiana","22047","47797"
"Alleghany/Clifton Forge, Virginia","51005","47794"
"Osage, Oklahoma","40113","47789"
"White, Illinois","17193","47773"
"Vernon, Louisiana","22115","47772"
"Davison, South Dakota","46035","47772"
"Grays Harbor, Washington","53027","47770"
"Lewis, Missouri","29111","47764"
"Angelina, Texas","48005","47714"
"Tuscola, Michigan","26157","47694"
"Pottawatomie, Oklahoma","40125","47683"
"Labette, Kansas","20099","47668"
"Roger Mills, Oklahoma","40129","47667"
"Montgomery, Iowa","19137","47648"
"Jefferson, Illinois","17081","47617"
"Colbert, Alabama","1033","47558"
"Cass, Indiana","18017","47545"
"Hancock, Mississippi","28045","47543"
"Hoke, North Carolina","37093","47535"
"Giles, Tennessee","47055","47528"
"Mifflin, Pennsylvania","42087","47526"
"Union, Iowa","19175","47518"
"Tulare, California","6107","47518"
"Bowie, Texas","48037","47505"
"McCone, Montana","30055","47500"
"Tillamook, Oregon","41057","47500"
"Hamilton, Texas","48193","47500"
"Greene, Arkansas","5055","47497"
"Marinette, Wisconsin","55075","47497"
"Lumpkin, Georgia","13187","47488"
"Trimble, Kentucky","21223","47470"
"Miami, Indiana","18103","47460"
"Noble, Ohio","39121","47456"
"Crawford, Michigan","26039","47443"
"Madison, Indiana","18095","47436"
"Calhoun, Michigan","26025","47426"
"Webster, Missouri","29225","47421"
"Liberty, Montana","30051","47419"
"Pawnee, Oklahoma","40117","47413"
"Beltrami, Minnesota","27007","47410"
"Glenn, California","6021","47395"
"Sullivan, Pennsylvania","42113","47346"
"Richland, Ohio","39139","47346"
"Oxford, Maine","23017","47275"
"Davidson, North Carolina","37057","47271"
"Clearfield, Pennsylvania","42033","47270"
"Jefferson, Tennessee","47089","47264"
"Prairie, Montana","30079","47250"
"Cattaraugus, New York","36009","47240"
"Taylor, West Virginia","54091","47205"
"Young, Texas","48503","47194"
"Hardy, West Virginia","54031","47186"
"Manistee, Michigan","26101","47172"
"Gray, Texas","48179","47170"
"Hill, Montana","30041","47141"
"Lafayette, Mississippi","28071","47132"
"Koochiching, Minnesota","27071","47129"
"Greeley, Nebraska","31077","47128"
"Scott, Indiana","18143","47123"
"McIntosh, Georgia","13191","47114"
"Platte, Wyoming","56031","47096"
"Van Buren, Iowa","19177","47083"
"Milam, Texas","48331","47081"
"Hale, Texas","48189","47080"
"Washington, Indiana","18175","47078"
"Monroe, Indiana","18105","47075"
"Northumberland, Pennsylvania","42097","47063"
"Allegany, New York","36003","47033"
"Seward, Kansas","20175","47025"
"Pickens, South Carolina","45077","47024"
"Genesee, Michigan","26049","47006"
"Montcalm, Michigan","26117","47000"
"Chariton, Missouri","29041","46992"
"Whitfield, Georgia","13313","46970"
"McKean, Pennsylvania","42083","46953"
"Vanderburgh, Indiana","18163","46943"
"Jasper, Missouri","29097","46929"
"Lucas, Ohio","39095","46924"
"Saginaw, Michigan","26145","46919"
"Lake, Colorado","8065","46918"
"Indiana, Pennsylvania","42063","46877"
"Sioux, Nebraska","31165","46875"
"Albany, Wyoming","56001","46865"
"Red Willow, Nebraska","31145","46859"
"Brazos, Texas","48041","46839"
"Cheyenne, Kansas","20023","46833"
"Fisher, Texas","48151","46827"
"Toole, Montana","30101","46823"
"Jefferson, Pennsylvania","42065","46818"
"Iron, Utah","49021","46809"
"Montezuma, Colorado","8083","46797"
"Marion, Missouri","29127","46762"
"Volusia, Florida","12127","46760"
"Washington, Tennessee","47179","46752"
"Price, Wisconsin","55099","46742"
"Stanton, Kansas","20187","46726"
"Newaygo, Michigan","26123","46724"
"Elmore, Idaho","16039","46715"
"Titus, Texas","48449","46698"
"Marion, Indiana","18097","46692"
"Sevier, Arkansas","5133","46667"
"Transylvania, North Carolina","37175","46629"
"Crawford, Arkansas","5033","46619"
"Randolph, Missouri","29175","46610"
"Wichita, Texas","48485","46575"
"San Juan, Colorado","8111","46563"
"Langlade, Wisconsin","55067","46557"
"Sullivan, Indiana","18153","46517"
"Benewah, Idaho","16009","46507"
"Mackinac, Michigan","26097","46507"
"Delta, Michigan","26041","46490"
"Bailey, Texas","48017","46485"
"Fayette, Ohio","39047","46478"
"Knox, Indiana","18083","46457"
"Chattahoochee, Georgia","13053","46453"
"Doddridge, West Virginia","54017","46449"
"Stone, Missouri","29209","46443"
"Presque Isle, Michigan","26141","46439"
"Lake and Peninsula, Alaska","2164","46406"
"Smith, Tennessee","47159","46404"
"Curry, Oregon","41015","46396"
"Charles Mix, South Dakota","46023","46389"
"Floyd, Georgia","13115","46367"
"Big Horn, Montana","30003","46365"
"Foard, Texas","48155","46354"
"Mineral, West Virginia","54057","46354"
"Haralson, Georgia","13143","46353"
"Huron, Michigan","26063","46320"
"Pawnee, Nebraska","31133","46314"
"Columbiana, Ohio","39029","46306"
"Tangipahoa, Louisiana","22105","46297"
"Fremont, Colorado","8043","46296"
"Chase, Kansas","20017","46295"
"Clearwater, Minnesota","27029","46291"
"White, Georgia","13311","46288"
"Anderson, Kansas","20003","46274"
"Lauderdale, Alabama","1077","46265"
"Washington, Virginia","51191","46262"
"Buckingham, Virginia","51029","46261"
"Madison, Tennessee","47113","46223"
"Phillips, Montana","30071","46222"
"Cumberland, Virginia","51049","46221"
"Oceana, Michigan","26127","46217"
"Wilson, Kansas","20205","46208"
"Bradford, Florida","12007","46197"
"Lincoln, Kansas","20105","46196"
"Laclede, Missouri","29105","46192"
"Prince Edward, Virginia","51147","46189"
"Benton, Indiana","18007","46188"
"Bates, Missouri","29013","46186"
"Polk, Texas","48373","46182"
"Curry, New Mexico","35009","46182"
"Stokes, North Carolina","37169","46169"
"Stephens, Oklahoma","40137","46166"
"Mobile, Alabama","1097","46166"
"Boyd, Kentucky","21019","46165"
"Cheboygan, Michigan","26031","46161"
"Schuyler, Illinois","17169","46151"
"Highland, Virginia","51091","46147"
"Knox, Texas","48275","46146"
"Delta, Texas","48119","46138"
"Bath, Virginia","51017","46137"
"Marion, Illinois","17121","46102"
"Jasper, Texas","48241","46088"
"Livingston, Kentucky","21139","46076"
"Worth, Georgia","13321","46076"
"Cimarron, Oklahoma","40025","46071"
"Perry, Arkansas","5105","46071"
"Lincoln, Oregon","41041","46061"
"Oconee, South Carolina","45073","46056"
"Greene, Illinois","17061","46052"
"Cherokee, Texas","48073","46044"
"Hernando, Florida","12053","46030"
"Haskell, Texas","48207","46013"
"St. Bernard, Louisiana","22087","46011"
"Alger, Michigan","26003","46007"
"Kalkaska, Michigan","26079","46004"
"Aitkin, Minnesota","27001","45989"
"Palo Pinto, Texas","48363","45979"
"Trumbull, Ohio","39155","45975"
"Dale, Alabama","1045","45960"
"Liberty, Georgia","13179","45959"
"Wood, West Virginia","54107","45958"
"Sevier, Tennessee","47155","45943"
